"time","flam.left","flam.mid","flam.right","label"
2021-06-22 09:09:58,137.28,122.61,159.49,"RE07_1002"
2021-06-22 09:21:33,136.28,122.61,165.58,"RE07_1002"
2021-06-22 09:35:16,107.08,98.54,132.27,"RE07_1002"
2021-06-22 09:47:00,103.13,112.02,130.93,"RE07_1002"
2021-06-22 09:53:50,122.28,105.76,144.66,"RE07_1002"
2021-06-22 10:02:49,111.36,148.02,99.2,"RE07_1002"
2021-06-22 10:12:55,123.61,125.94,143.65,"RE07_1002"
2021-06-22 11:03:43,123.61,119.63,157.8,"RE07_1002"
2021-06-22 11:11:53,126.94,102.81,160.84,"RE07_1002"
2021-06-22 11:19:29,116.32,109.71,146.01,"RE07_1002"
2021-06-22 11:25:26,135.94,125.27,154.42,"RE07_1002"
2021-06-22 11:33:28,111.69,97.89,149.03,"RE07_1002"
2021-06-22 11:35:26,123.28,107.41,155.1,"RE07_1002"
2021-06-22 11:43:20,143.32,118.97,165.91,"RE07_1002"
2021-06-22 11:49:13,139.63,122.28,160.16,"RE07_1002"
2021-06-22 11:51:11,169.3,153.41,175.06,"RE07_1002"
2021-06-23 09:35:35,97.23,106.09,131.6,"RE07_1002"
2021-06-23 09:41:28,118.97,129.27,160.5,"RE07_1002"
2021-06-23 09:53:15,121.95,135.61,156.45,"RE07_1002"
2021-06-23 09:55:13,113.34,130.6,174.72,"RE07_1002"
2021-06-23 10:02:41,164.22,153.08,164.56,"RE07_1002"
2021-06-23 10:07:29,123.61,136.61,157.12,"RE07_1002"
2021-06-23 10:09:27,100.18,100.84,140.97,"RE07_1002"
2021-06-23 10:11:25,274.19,290.96,217.08,"RE07_1002"
2021-06-23 10:19:20,108.07,130.93,167.27,"RE07_1002"
2021-06-23 10:26:38,108.07,135.94,168.62,"RE07_1002"
2021-06-23 10:28:36,178.11,132.6,165.58,"RE07_1002"
2021-06-23 10:34:29,132.94,130.27,178.45,"RE07_1002"
2021-06-23 11:26:08,109.06,119.63,145.33,"RE07_1002"
2021-06-23 11:31:17,105.76,119.63,145.67,"RE07_1002"
2021-06-23 11:33:15,136.61,129.27,161.18,"RE07_1002"
2021-06-23 11:39:52,117.97,120.29,138.96,"RE07_1002"
2021-06-23 11:47:45,101.49,118.3,147.01,"RE07_1002"
2021-06-23 11:53:42,117.97,123.94,154.76,"RE07_1002"
2021-06-23 11:59:06,115.33,120.62,156.11,"RE07_1002"
2021-06-23 12:01:04,278.47,425.46,391.79,"RE07_1002"
