"time","flam.left","flam.mid","flam.right","label"
2021-06-22 09:09:58,137.28,122.61,159.49,"DP29_1113"
2021-06-22 09:21:33,136.28,122.61,165.58,"DP29_1113"
2021-06-22 09:35:16,107.08,98.54,132.27,"DP29_1113"
2021-06-22 09:47:00,103.13,112.02,130.93,"DP29_1113"
2021-06-22 09:53:50,122.28,105.76,144.66,"DP29_1113"
2021-06-22 10:02:49,111.36,148.02,99.2,"DP29_1113"
2021-06-22 10:12:55,123.61,125.94,143.65,"DP29_1113"
2021-06-22 11:03:43,123.61,119.63,157.8,"DP29_1113"
2021-06-22 11:11:53,126.94,102.81,160.84,"DP29_1113"
2021-06-22 11:19:29,116.32,109.71,146.01,"DP29_1113"
2021-06-22 11:25:26,135.94,125.27,154.42,"DP29_1113"
2021-06-22 11:33:28,111.69,97.89,149.03,"DP29_1113"
2021-06-22 11:35:26,123.28,107.41,155.1,"DP29_1113"
2021-06-22 11:43:20,143.32,118.97,165.91,"DP29_1113"
2021-06-22 11:49:13,139.63,122.28,160.16,"DP29_1113"
2021-06-22 11:51:11,169.3,153.41,175.06,"DP29_1113"
2021-06-23 09:35:35,97.23,106.09,131.6,"DP29_1113"
2021-06-23 09:41:28,118.97,129.27,160.5,"DP29_1113"
2021-06-23 09:53:15,121.95,135.61,156.45,"DP29_1113"
2021-06-23 09:55:13,113.34,130.6,174.72,"DP29_1113"
2021-06-23 10:02:41,164.22,153.08,164.56,"DP29_1113"
2021-06-23 10:07:29,123.61,136.61,157.12,"DP29_1113"
2021-06-23 10:09:27,100.18,100.84,140.97,"DP29_1113"
2021-06-23 10:11:25,274.19,290.96,217.08,"DP29_1113"
2021-06-23 10:19:20,108.07,130.93,167.27,"DP29_1113"
2021-06-23 10:26:38,108.07,135.94,168.62,"DP29_1113"
2021-06-23 10:28:36,178.11,132.6,165.58,"DP29_1113"
2021-06-23 10:34:29,132.94,130.27,178.45,"DP29_1113"
2021-06-23 11:26:08,109.06,119.63,145.33,"DP29_1113"
2021-06-23 11:31:17,105.76,119.63,145.67,"DP29_1113"
2021-06-23 11:33:15,136.61,129.27,161.18,"DP29_1113"
2021-06-23 11:39:52,117.97,120.29,138.96,"DP29_1113"
2021-06-23 11:47:45,101.49,118.3,147.01,"DP29_1113"
2021-06-23 11:53:42,117.97,123.94,154.76,"DP29_1113"
2021-06-23 11:59:06,115.33,120.62,156.11,"DP29_1113"
2021-06-23 12:01:04,278.47,425.46,391.79,"DP29_1113"
2021-06-23 12:06:57,61.02,71.13,82.86,"DP29_1113"
2021-07-17 10:03:38,155.77,145.33,NA,"DP29_1113"
2021-07-17 10:11:21,143.99,145,NA,"DP29_1113"
2021-07-17 10:19:29,159.15,125.94,NA,"DP29_1113"
2021-07-17 10:25:19,145.67,117.97,NA,"DP29_1113"
2021-07-17 10:27:17,124.61,107.41,NA,"DP29_1113"
2021-07-17 10:39:01,129.6,106.42,NA,"DP29_1113"
2021-07-17 10:44:54,127.27,94.29,NA,"DP29_1113"
2021-07-17 10:50:44,122.28,102.81,NA,"DP29_1113"
2021-07-17 11:43:46,144.66,120.62,NA,"DP29_1113"
2021-07-17 11:51:44,145,119.63,NA,"DP29_1113"
2021-07-17 11:57:37,148.02,115.66,NA,"DP29_1113"
2021-07-17 12:05:40,121.29,101.82,NA,"DP29_1113"
2021-07-17 12:11:20,144.33,117.31,NA,"DP29_1113"
2021-07-17 12:21:02,121.62,104.45,NA,"DP29_1113"
2021-07-18 09:54:48,127.27,114.33,146.01,"DP29_1113"
2021-07-18 10:00:35,136.95,134.27,147.01,"DP29_1113"
2021-07-18 10:02:33,105.43,111.03,113.34,"DP29_1113"
2021-07-18 10:14:22,122.61,120.62,118.63,"DP29_1113"
2021-07-18 10:20:33,117.31,103.46,141.3,"DP29_1113"
2021-07-18 10:26:08,115.33,132.94,134.61,"DP29_1113"
2021-07-18 10:34:23,116.65,122.61,138.29,"DP29_1113"
2021-07-18 11:19:17,145,161.52,136.61,"DP29_1113"
2021-07-18 11:21:15,117.31,128.6,147.35,"DP29_1113"
2021-07-18 11:27:23,111.36,139.29,105.11,"DP29_1113"
2021-07-18 11:29:21,310.25,376.66,182.19,"DP29_1113"
2021-07-18 11:37:08,124.27,139.29,122.28,"DP29_1113"
2021-07-18 11:43:10,113.67,137.28,111.03,"DP29_1113"
2021-07-18 11:50:46,115.66,112.02,106.42,"DP29_1113"
2021-07-18 11:56:52,116.32,107.08,142.65,"DP29_1113"
2021-07-18 11:58:50,112.68,315.14,109.71,"DP29_1113"
2021-09-12 09:45:29,121.29,133.27,110.04,"DP29_1113"
2021-09-12 09:47:27,122.28,92,153.08,"DP29_1113"
2021-09-12 09:51:26,121.95,126.94,131.93,"DP29_1113"
2021-09-12 09:57:16,108.07,123.28,136.28,"DP29_1113"
2021-09-12 10:03:18,104.12,114.66,115.99,"DP29_1113"
2021-09-12 10:05:16,157.12,164.9,117.31,"DP29_1113"
2021-09-12 10:11:07,123.28,121.95,135.94,"DP29_1113"
2021-09-12 10:15:05,120.29,127.93,109.38,"DP29_1113"
2021-09-12 10:17:03,114.99,120.29,139.29,"DP29_1113"
2021-09-12 10:20:51,111.36,111.36,132.6,"DP29_1113"
2021-09-12 10:24:50,108.4,110.7,130.93,"DP29_1113"
2021-09-12 10:32:46,95.27,110.37,117.64,"DP29_1113"
2021-09-12 10:38:37,132.27,150.72,131.6,"DP29_1113"
2021-11-05 10:33:02,208.2,259.88,227.12,"DP29_1113"
2021-11-05 10:38:53,192.9,290.57,210.56,"DP29_1113"
2021-11-05 10:44:48,298.44,256.89,244.94,"DP29_1113"
2021-11-05 10:50:39,192.9,270.68,207.01,"DP29_1113"
2021-11-05 10:52:37,184.08,268.88,177.62,"DP29_1113"
2021-11-05 10:54:35,555.73,356.27,661.75,"DP29_1113"
2021-11-05 11:00:37,236.61,304.5,253.31,"DP29_1113"
2021-11-05 11:02:35,184.68,259.29,201.72,"DP29_1113"
2021-11-05 11:08:27,220.6,255.69,222.37,"DP29_1113"
2021-11-05 11:12:24,227.12,297.84,247.93,"DP29_1113"
2021-11-05 11:18:15,219.42,276.1,235.42,"DP29_1113"
2021-11-05 11:20:13,226.53,293.59,220.6,"DP29_1113"
2021-11-05 11:24:15,240.19,337.96,253.9,"DP29_1113"
2021-11-05 11:26:13,225.34,324.55,240.78,"DP29_1113"
2021-11-05 11:30:10,252.7,285.75,246.74,"DP29_1113"
2021-11-05 11:32:08,228.31,281.52,234.23,"DP29_1113"
2021-11-05 11:36:02,215.87,272.48,211.15,"DP29_1113"
2021-11-05 11:38:00,181.15,273.09,182.32,"DP29_1113"
2021-11-05 11:39:58,981.37,416.66,686.19,"DP29_1113"
2021-11-05 11:45:44,199.36,240.19,192.31,"DP29_1113"
2021-11-05 11:47:42,559.87,266.49,201.72,"DP29_1113"
2021-11-05 11:49:40,491.54,745.32,683.85,"DP29_1113"
