"Plot Title: "
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247374, SEN S/N: 2247374)","Started (LGR S/N: 2247374)","Host Connected (LGR S/N: 2247374)","Stopped (LGR S/N: 2247374)","End Of File (LGR S/N: 2247374)"
1,06/30/20 11:17:16 AM,32.35,Logged,,,
2,06/30/20 11:17:17 AM,32.35,,,,
3,06/30/20 11:17:18 AM,32.35,,,,
4,06/30/20 11:17:19 AM,32.35,,,,
5,06/30/20 11:17:20 AM,32.35,,,,
6,06/30/20 11:17:21 AM,32.35,,,,
7,06/30/20 11:17:22 AM,32.35,,,,
8,06/30/20 11:17:23 AM,32.68,,,,
9,06/30/20 11:17:24 AM,32.35,,,,
10,06/30/20 11:17:25 AM,32.35,,,,
11,06/30/20 11:17:26 AM,32.35,,,,
12,06/30/20 11:17:27 AM,32.68,,,,
13,06/30/20 11:17:28 AM,32.35,,,,
14,06/30/20 11:17:29 AM,32.35,,,,
15,06/30/20 11:17:30 AM,32.35,,,,
16,06/30/20 11:17:31 AM,32.35,,,,
17,06/30/20 11:17:32 AM,32.68,,,,
18,06/30/20 11:17:33 AM,32.35,,,,
19,06/30/20 11:17:34 AM,32.35,,,,
20,06/30/20 11:17:35 AM,32.35,,,,
21,06/30/20 11:17:36 AM,32.35,,,,
22,06/30/20 11:17:37 AM,32.68,,,,
23,06/30/20 11:17:38 AM,32.35,,,,
24,06/30/20 11:17:39 AM,32.35,,,,
25,06/30/20 11:17:40 AM,32.35,,,,
26,06/30/20 11:17:41 AM,32.35,,,,
27,06/30/20 11:17:42 AM,32.35,,,,
28,06/30/20 11:17:43 AM,32.35,,,,
29,06/30/20 11:17:44 AM,32.35,,,,
30,06/30/20 11:17:45 AM,32.35,,,,
31,06/30/20 11:17:46 AM,32.35,,,,
32,06/30/20 11:17:47 AM,32.68,,,,
33,06/30/20 11:17:48 AM,32.35,,,,
34,06/30/20 11:17:49 AM,32.68,,,,
35,06/30/20 11:17:50 AM,32.35,,,,
36,06/30/20 11:17:51 AM,32.35,,,,
37,06/30/20 11:17:52 AM,32.35,,,,
38,06/30/20 11:17:53 AM,32.68,,,,
39,06/30/20 11:17:54 AM,32.68,,,,
40,06/30/20 11:17:55 AM,32.35,,,,
41,06/30/20 11:17:56 AM,32.35,,,,
42,06/30/20 11:17:57 AM,32.35,,,,
43,06/30/20 11:17:58 AM,32.68,,,,
44,06/30/20 11:17:59 AM,32.68,,,,
45,06/30/20 11:18:00 AM,32.68,,,,
46,06/30/20 11:18:01 AM,32.68,,,,
47,06/30/20 11:18:02 AM,32.35,,,,
48,06/30/20 11:18:03 AM,32.68,,,,
49,06/30/20 11:18:04 AM,32.35,,,,
50,06/30/20 11:18:05 AM,32.68,,,,
51,06/30/20 11:18:06 AM,32.68,,,,
52,06/30/20 11:18:07 AM,32.68,,,,
53,06/30/20 11:18:08 AM,32.68,,,,
54,06/30/20 11:18:09 AM,32.68,,,,
55,06/30/20 11:18:10 AM,32.68,,,,
56,06/30/20 11:18:11 AM,32.68,,,,
57,06/30/20 11:18:12 AM,32.68,,,,
58,06/30/20 11:18:13 AM,32.68,,,,
59,06/30/20 11:18:14 AM,32.68,,,,
60,06/30/20 11:18:15 AM,32.68,,,,
61,06/30/20 11:18:16 AM,32.68,,,,
62,06/30/20 11:18:17 AM,32.68,,,,
63,06/30/20 11:18:18 AM,32.68,,,,
64,06/30/20 11:18:19 AM,32.68,,,,
65,06/30/20 11:18:20 AM,32.68,,,,
66,06/30/20 11:18:21 AM,32.68,,,,
67,06/30/20 11:18:22 AM,32.68,,,,
68,06/30/20 11:18:23 AM,32.68,,,,
69,06/30/20 11:18:24 AM,32.68,,,,
70,06/30/20 11:18:25 AM,32.68,,,,
71,06/30/20 11:18:26 AM,32.68,,,,
72,06/30/20 11:18:27 AM,32.68,,,,
73,06/30/20 11:18:28 AM,32.68,,,,
74,06/30/20 11:18:29 AM,32.68,,,,
75,06/30/20 11:18:30 AM,32.68,,,,
76,06/30/20 11:18:31 AM,32.68,,,,
77,06/30/20 11:18:32 AM,32.68,,,,
78,06/30/20 11:18:33 AM,32.68,,,,
79,06/30/20 11:18:34 AM,33.01,,,,
80,06/30/20 11:18:35 AM,32.68,,,,
81,06/30/20 11:18:36 AM,32.68,,,,
82,06/30/20 11:18:37 AM,32.68,,,,
83,06/30/20 11:18:38 AM,32.68,,,,
84,06/30/20 11:18:39 AM,32.68,,,,
85,06/30/20 11:18:40 AM,32.68,,,,
86,06/30/20 11:18:41 AM,33.01,,,,
87,06/30/20 11:18:42 AM,32.68,,,,
