date,trial,trial.time,site,temp.id,species,mass.pre,mass.post,temp.d1.pre,temp.d2.pre,flame.ht,flame.dur,temp d1.post,temp.d2.post,vol.burned,notes
0,1,9:54,Dickens.Top,jupi1,Juniperus pinchotti,89.5,77.7,104,93,2,0:22.32,96,94,2,
09/24/20,2,10:06,Dickens.Top,rhtr1,Rhus trilobata,112.4,108,99,83,0,0,99,83,1,
09/24/20,3,10:14,Dickens.Top,celtis1,Celtis laevigata,127.5,115.9,94,100,14,0:9.2,114,112,3,
09/24/20,4,10:19,Dickens.Top,rhmI1,Rhus microphylla,123,113.5,105,104.3,12,0:13.67,117,120,10,
09/24/20,5,10:43,Dickens.Top,alt1,,100.7,84,127.5,127.9,10,0:14.89,130,180,25,
09/24/20,6,10:50,Dickens.Top,prgr1,Prosopis glandulosa,63.9,38,122,124.2,56,0:44.71,150,155,60,
09/24/20,7,10:56,Dickens.Top,vine,,63.1,53,114.2,120,2,0:8.84,113,125,10,
09/24/20,8,11:04,Dickens.Top,ziob1,Ziziphus obtusifolia,95.6,88.3,120,119.2,10,0:19.04,124,131,8,
09/24/20,9,11:09,Dickens.Top,opp1,,43.8,38,124.6,125,0,0:0,125,132,20,
09/24/20,10,11:13,Dickens.Top,jupi2,Juniperus pinchotti,317.1,281.3,117.5,125,21,0:39.2,120,131,4,
09/24/20,11,11:23,Dickens.Top,dafo1,Dalea formosa,41.7,39,135.1,134.4,0,0:0,133,132,2,
09/24/20,12,11:28,Dickens.Top,rhtr2,Rhus trilobata,86.6,70.6,136,126,8,0:5.14,135,135.6,8,
09/24/20,13,11:33,Dickens.Top,opp2,,77.2,66.1,132.6,137.3,14,0:15,133,142,15,
11/1/2020,1,11:57:00 AM,Dickens,JUPI1,,433.2,409.7,141.1,131.1,2,0:12,141.1,131.1,3,
11/1/2020,2,12:01:00 PM,Dickens,JUPI1,,400.7,67.8,142,135,81,5:07,142,135,92,* [REBURN] reburn of trial 1 with JUPI 1 sample
11/1/2020,3,12:37:00 PM,Dickens,PRGL1,,81.5,51.1,145.7,145.7,51,0:38,145.7,145.7,85,
11/1/2020,4,12:44:00 PM,Dickens,JUPI2,,288.9,159,145,143.1,63,4:32,145,143.1,45,
11/1/2020,5,12:56:00 PM,Dickens,PRGL2,,75.8,51.3,158.1,157.7,63,0:55,158.1,157.7,85,
11/1/2020,6,013:04:00 AM,Dickens,JUPI3,,190.8,141.5,145.7,141.6,38,2:08,145.7,141.6,10,
11/1/2020,7,13:11:00 AM,Dickens,PRGL3,,70.1,64.2,149.6,150,6,0:19,149.6,150,5,
11/1/2020,8,13:17:00 AM,Dickens,JUPI4,,420,73.9,138.2,120.2,102,3:25,138.2,120.2,95,
11/1/2020,9,13:36:00 AM,Dickens,PRGL4,,89.8,68.5,149.6,145.6,44,0:21,149.6,145.6,50,
11/1/2020,10,13:42:00 AM,Dickens,JUPI5,,242.9,215.7,149.1,150.3,0,0:0,149.1,150.3,1,* [DNI] did not ignite
11/1/2020,11,13:47:00 AM,Dickens,PRGL5,,69.6,60.7,151,151.3,17,0:20,151,151.3,30,
11/1/2020,12,13:52:00 AM,Dickens,JUPI6,,323.5,323.5*,150,149.5,0,0:0,150,149.5,1,* [DNI] did not ignite - missing data for mass.post but assumed same as mass.pre
11/1/2020,13,14:04:00 AM,Dickens,PRGL6,,91.2,69.1,169,153,63,0:26,169,153,20,
11/1/2020,14,14:10:00 AM,Dickens,JUPI7,,405.2,108,134,126.2,90,3:21,134,126.2,95,
11/1/2020,15,14:27:00 AM,Dickens,PRGL7,,72.9,60.3,152.6,145,43,0:08,152.6,145,30,
11/1/2020,16,14:33:00 AM,Dickens,JUPI8,,211,157.1,135,152.1,56,2:08,135,152.1,15,
11/1/2020,17,14:39:00 AM,Dickens,PRGL8,,76.4,54.2,154.4,159.4,65,0:32,154.4,159.4,55,
11/1/2020,18,14:47:00 AM,Dickens,JUPI9,,182.3,28.3,151.2,153.3,42,7:19,151.2,153.3,95,* [SPONTANEOUS] Spontaneous combustion during preheating
11/1/2020,19,14:59:00 AM,Dickens,PRGL9,,100.1,71.3,159.7,154.3,54,0:51,159.7,154.3,60,
11/1/2020,20,13:55:00 AM,Dickens,JUPI6,,323.5,48.6,,,71,5:05,,,95,* [REBURN] reburn of trial 12 with JUPI6
