date,time,trial,air.temp.F,rh,windspeed
06/27/20,11:21:00 AM,1,83.6,56.4,1.6
06/27/20,11:33:00 AM,2,89.5,47.1,1
06/27/20,11:40:00 AM,3,90.1,29.5,1.1
06/27/20,11:54:00 AM,4,92,32.2,0.9
06/27/20,11:59:00 AM,5,97.9,32.2,0.6
06/27/20,12:08:00 PM,6,95.4,22.2,1.1
06/27/20,12:16:00 PM,7,101.7,34.2,0
06/27/20,12:25:00 PM,8,96,36.8,0.6
06/27/20,12:41:00 PM,9,100.2,32.2,0.6
06/27/20,01:07:00 PM,10,110.8,25.2,0.7
06/27/20,01:12:00 PM,11,109.4,21.9,0.6
06/27/20,01:17:00 PM,12,101.3,23.4,0
06/27/20,01:25:00 PM,,101.2,22.2,0.6
06/30/20,11:19:00 AM,13,87.4,34.5,0
06/30/20,11:25:00 AM,14,90.8,30.4,0
06/30/20,11:31:00 AM,15,91.2,19.6,0
06/30/20,11:37:00 AM,16,93,19.2,0
06/30/20,11:42:00 AM,17,93.3,16.7,0
06/30/20,11:51:00 AM,18,94.8,18.2,0
06/30/20,11:57:00 AM,19,94.9,17,0
06/30/20,12:05:00 PM,20,95.6,15.8,0
09/24/20,09:47:00 AM,1,70.1,67.4,1.2
09/24/20,10:50:00 AM,6,73.9,66.7,0.9
09/24/20,10:55:00 AM,7,76.4,68..7,1.2
09/24/20,11:00:00 AM,8,77.1,51,0.9
09/24/20,11:06:00 AM,9,80.2,48,1.2
09/24/20,11:13:00 AM,10,82.4,45,2.4
09/24/20,11:20:00 AM,11,87.5,40,1.2
09/24/20,11:27:00 AM,12,92.3,35,1
09/24/20,11:32:00 AM,13,93.2,34,0
