date,trial.id,trial.time,site,temp.id,species,mass.pre,mass.post,temp.d1.pre,temp.d2.pre,ign.dur,flame.ht,flame.dur,temp.d1.post,temp.d2.post,vol.burned
06/27/20,1,11:23:00 AM,E19,616,Rhus virens,,,157.3,160.4,5.1,28,14.25,260,250,90
06/27/20,2,11:34:00 AM,e15,590,Arbutus xalepensis,,,158.6,169.7,2.69,24,53.99,175,175,40
06/27/20,3,11:44:00 AM,E17,,Juniperus ashei,,,160.2,167.1,5.81,47,02:46.31,246,281,90
06/27/20,4,11:56:00 AM,e17,,Quercus buckleyi,100.7,,163.1,166.5,1.76,60,18.46,216,227,55
06/27/20,5,12:01:00 PM,e17,504,Quercus laceyi,53.8,,170,175.8,3.06,37,26.09,175.7,204.1,25
06/27/20,6,12:10:00 PM,e13,,Sophora secundiflora,93.1,44.8,162.2,170.2,2.38,58,27.81,189.2,241.1,90
06/27/20,7,12:18:00 PM,,618,Quercus,34.9,16.3,162.2,179.2,1.45,29,11,203.3,204.2,90
06/27/20,8,01:01:00 PM,e13,,Arbutus xalepensis,100.1,68.6,167.5,177.5,10,12,47.25,186,191.8,10
06/27/20,9,01:09:00 PM,e13,,Quercus buckleyi,123.7,78.8,187.2,194.2,0.79,72,24.05,216.1,254.1,80
06/27/20,10,01:14:00 PM,e15,,Juniperus ashei,118.9,17,183.5,201.5,8.02,70,01:23.47,267.1,274.8,90
06/27/20,11,01:20:00 PM,,617,Cercis?,30.2,20.3,186.2,169.1,3.89,28,27.45,187.4,213.5,70
06/27/20,12,01:26:00 PM,e15,,gloss leaf lenticel,57.5,35.1,169,197.4,3.92,39,9.2,191.7,226.6,85
06/30/20,13,11:21:00 AM,e24,,Condalia,57.4,53.8,94.4,97.4,10,6,18.47,102.8,120.9,5
06/30/20,14,11:27:00 AM,e24,,Diospyros texana,101,90.2,137.8,132.1,9.36,16,8.42,131,130.9,5
06/30/20,15,11:33:00 AM,,595,?,56.4,50.1,148.5,140.5,10,11,10.29,144.5,171.7,5
06/30/20,16,11:37:00 AM,e24,,Mahonia trifoliata,58.8,44.5,153.1,171.2,8.7,26,31.42,157.6,173,30
06/30/20,17,11:42:00 AM,,593,Juniperus ashei,284.7,158,144.4,146.4,6.73,43,01:40.86,164,222,30
06/30/20,18,11:54:00 AM,,591,Quercus ?,83.1,69.1,156.8,161.7,5.75,13,13.91,160.2,169.6,5
06/30/20,19,11:58:00 AM,,651,Pinus remota,133.2,71,161.9,153,0.96,23,27.09,185,203,60
06/30/20,20,12:06:00 PM,e24,,Juniperus ashei,224,32.9,160.2,171.1,6.63,79,03:00.63,260,276,95
06/30/20,21,12:20:00 PM,Bandera-2020-29,,Quercus fusiformis,96.9,85.1,180.8,173.5,3.66,30,28.8,180,205,5
06/30/20,22,12:26:00 PM,Bandera-2020-29,,Juniperus ashei,146,79.4,157.6,174.8,1.25,63,01:05.41,185,225,50
