ec5_uuid,created_at,uploaded_at,title,date,site,lat_location,long_location,accuracy_location,UTM_Northing_location,UTM_Easting_location,UTM_Zone_location,photo,sample_ID,species,species_ID
a65558f5-b179-4cc5-83c6-c3243f740c7d,2021-05-22T17:54:22.973Z,2021-06-07T17:13:36.000Z,RE07,22/05/2021,Real 2020-11,29.795045,-99.695538,7,3296277,432778,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=a65558f5-b179-4cc5-83c6-c3243f740c7d_1621706035.jpg,RE07,Mahonia trifoliolata,1002
8e2807ac-bb09-4f29-adc5-21aa3542c89b,2021-05-22T17:44:33.532Z,2021-06-07T17:13:30.000Z,RE06,22/05/2021,Real 2020-11,29.795033,-99.695683,9,3296276,432764,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=8e2807ac-bb09-4f29-adc5-21aa3542c89b_1621705440.jpg,RE06,Sophora secundiflora,1021
bc215c52-85c1-438a-b838-5aeafcfe3ef0,2021-05-22T17:31:54.955Z,2021-06-07T17:13:32.000Z,RE05,22/05/2021,Real 2020-11,29.795019,-99.695719,4,3296275,432761,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=bc215c52-85c1-438a-b838-5aeafcfe3ef0_1621704644.jpg,RE05,Arbutus xalapensis,1085
b978e307-d7ae-4e95-a932-ebcfbfee085e,2021-05-22T16:56:48.862Z,2021-06-07T17:13:38.000Z,RE04,22/05/2021,Real 2020-11,29.796276,-99.698555,6,3296415,432487,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=b978e307-d7ae-4e95-a932-ebcfbfee085e_1621702562.jpg,RE04,Quercus buckleyi,1078
3b909a1a-6d60-485c-b6fe-8eafe0c83c22,2021-05-22T16:29:57.797Z,2021-06-07T17:13:40.000Z,RE03,22/05/2021,Real 2020-11,29.796097,-99.698365,9,3296396,432506,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=3b909a1a-6d60-485c-b6fe-8eafe0c83c22_1621700972.jpg,RE03,Yucca rupicola,1100
42af0f56-646d-48b1-9667-b41a0e212c75,2021-05-22T16:14:22.243Z,2021-06-07T17:13:34.000Z,RE02,22/05/2021,Real 2020-11,29.796093,-99.698401,6,3296395,432502,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=42af0f56-646d-48b1-9667-b41a0e212c75_1621700037.jpg,RE02,Quercus laceyi,1059
9ed9c4b3-97f6-417e-b2d1-8aa1d6a168be,2021-05-22T16:01:11.685Z,2021-06-07T17:13:43.000Z,RE01,22/05/2021,Real 2020-11,29.796115,-99.698306,6,3296397,432511,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=9ed9c4b3-97f6-417e-b2d1-8aa1d6a168be_1621699231.jpg,RE01,Juniperus ashei,1022
789dc7ae-0f42-4ce8-a1e4-5f2dc0d984f7,2021-05-21T22:10:48.314Z,2021-06-07T17:13:22.000Z,ED18,21/05/2021,Edwards 2020-23,30.028427,-100.007979,13,3322363,402807,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=789dc7ae-0f42-4ce8-a1e4-5f2dc0d984f7_1621635021.jpg,ED18,Diospyros texana,1000
87faf82f-63b1-4925-91f9-d6ae72de0ea0,2021-05-21T21:21:30.042Z,2021-06-07T17:13:45.000Z,ED17,21/05/2021,Edwards 2020-23,30.029196,-100.008354,8,3322448,402772,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=87faf82f-63b1-4925-91f9-d6ae72de0ea0_1621632055.jpg,ED17,Quercus laceyi,1059
ffe897fa-77ad-402d-9df4-66a4f7011c7f,2021-05-21T20:51:10.347Z,2021-06-07T17:13:26.000Z,ED16,21/05/2021,Edwards 2020-23,30.028945,-100.008157,7,3322420,402791,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=ffe897fa-77ad-402d-9df4-66a4f7011c7f_1621630232.jpg,ED16,Mahonia trifoliolata,1002
62d8c4e0-2b96-4a4f-93bc-b5d8c3756890,2021-05-21T20:48:48.286Z,2021-06-07T17:13:48.000Z,ED15,21/05/2021,Edwards 2020-23,30.028932,-100.008584,7,3322419,402750,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=62d8c4e0-2b96-4a4f-93bc-b5d8c3756890_1621630106.jpg,ED15,Prunus serotina,1070
42c101ca-44c2-4eff-adce-90c6eb6c1a24,2021-05-21T20:02:37.968Z,2021-06-07T17:13:50.000Z,ED14,21/05/2021,Edwards 2020-23,30.028949,-100.008539,14,3322421,402754,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=42c101ca-44c2-4eff-adce-90c6eb6c1a24_1621627314.jpg,ED14,Rhus virens,2006
bd7a4223-5aab-4ce5-aa14-afeb4e76307a,2021-05-21T19:45:11.668Z,2021-06-07T17:13:52.000Z,ED13,21/05/2021,Edwards 2020-23,30.028807,-100.008891,8,3322406,402720,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=bd7a4223-5aab-4ce5-aa14-afeb4e76307a_1621626276.jpg,ED13,Juniperus ashei,1022
05cd0d8a-10d5-4f59-b83a-59e3815ddc4d,2021-05-21T19:34:38.685Z,2021-06-07T17:13:54.000Z,ED12,21/05/2021,Edwards 2020-23,30.02886,-100.008761,13,3322411,402732,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=05cd0d8a-10d5-4f59-b83a-59e3815ddc4d_1621625649.jpg,ED12,Sophora secundiflora,1021
e110e3b2-dd8d-47ed-a22e-21f69d9464eb,2021-05-21T16:21:16.746Z,2021-06-07T17:13:56.000Z,ED11,21/05/2021,Edwards 2020-22,29.749179,-100.529123,4,3291972,352141,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=e110e3b2-dd8d-47ed-a22e-21f69d9464eb_1621614052.jpg,ED11,Senegalia wrightii,2005
0461865d-28b0-47e9-8f52-2d9b4f0e16d4,2021-05-21T15:51:22.283Z,2021-06-07T17:13:58.000Z,ED10,21/05/2021,Edwards 2020-22,29.749182,-100.52908,4,3291972,352145,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=0461865d-28b0-47e9-8f52-2d9b4f0e16d4_1621612249.jpg,ED10,Mimosa borealis,1009
544e87b4-8d02-4470-b203-974a9ea1f826,2021-05-21T15:42:44.289Z,2021-06-07T17:14:00.000Z,ED09,21/05/2021,Edwards 2020-22,29.749284,-100.529058,4,3291983,352147,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=544e87b4-8d02-4470-b203-974a9ea1f826_1621611735.jpg,ED09,Condalia hookeri,2003
c8f4a6fc-a3e0-4429-a311-8230834061e6,2021-05-21T15:30:20.813Z,2021-06-07T17:13:17.000Z,ED08,21/05/2021,Edwards 2020-22,29.749295,-100.529069,4,3291984,352146,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=c8f4a6fc-a3e0-4429-a311-8230834061e6_1621610970.jpg,ED08,Rhus virens,1036
dd0387c8-6d7b-43f0-9613-ce5c92b6cd7d,2021-05-21T15:06:52.784Z,2021-06-07T17:13:28.000Z,ED07,21/05/2021,Edwards 2020-22,29.749184,-100.529083,4,3291972,352145,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=dd0387c8-6d7b-43f0-9613-ce5c92b6cd7d_1621609483.jpg,ED07,Sophora secundiflora,1021
587d6be4-5ce7-4750-966c-5089414cada9,2021-05-21T14:55:06.450Z,2021-06-07T17:14:02.000Z,ED06,21/05/2021,Edwards 2020-22,29.749242,-100.529138,4,3291979,352139,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=587d6be4-5ce7-4750-966c-5089414cada9_1621608878.jpg,ED06,Quercus spp,QS
1e88111d-d3e0-4942-acb8-b2e04ac2666c,2021-05-21T14:34:21.050Z,2021-06-07T17:13:19.000Z,ED05,21/05/2021,Edwards 2020-22,29.749115,-100.529089,4,3291964,352144,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=1e88111d-d3e0-4942-acb8-b2e04ac2666c_1621607614.jpg,ED05,Pinus remota,2001
80af6cc5-0aed-430e-bb9d-c76b419b07a1,2021-05-21T14:23:11.446Z,2021-06-07T17:14:04.000Z,ED04,21/05/2021,Edwards 2020-22,29.74916,-100.528938,4,3291969,352159,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=80af6cc5-0aed-430e-bb9d-c76b419b07a1_1621606956.jpg,ED04,Juniperus ashei,1022
d1573db1-9b46-4fa3-9d4c-797972f518c9,2021-05-21T14:00:00.064Z,2021-06-07T17:14:06.000Z,ED03,21/05/2021,Edwards 2020-22,29.749112,-100.528893,4,3291964,352163,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=d1573db1-9b46-4fa3-9d4c-797972f518c9_1621605558.jpg,ED03,Quercus fusiformis,2000
ec04fec1-6125-41c5-990d-4bc90a5bfd73,2021-05-21T13:43:47.732Z,2021-06-07T17:13:15.000Z,ED02,21/05/2021,Edwards 2020-22,29.749159,-100.528921,4,3291969,352160,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=ec04fec1-6125-41c5-990d-4bc90a5bfd73_1621604520.jpg,ED02,Diospyros texana,1000
da8ddeae-5c7a-403e-b719-7adedc1229f8,2021-05-21T13:31:38.326Z,2021-06-07T17:13:24.000Z,ED01,21/05/2021,Edwards 2020-22,29.749126,-100.528925,4,3291965,352160,14R,https://five.epicollect.net/api/media/ecolab-flam?type=photo&format=entry_original&name=da8ddeae-5c7a-403e-b719-7adedc1229f8_1621603837.jpg,ED01,Mahonia trifoliolata,1002
