Sample ID,Species ID,Trial,Trial Time,RH,WS,Tem (F),Pre Mass (gm),Post Mass (gm),Pre.Tem(D1),Pre.Tem(D2),Flame.Height(cm),Flame.Dur(M:S),Post.Tem(D1),Post.Tem(D2),Vol.Bur(%),Max.Tem,Ignition
ED04,1022,5,12:48,37.4,1.3,85.8,88.5,64.1,138,140,15,0.22,135,142,5,,1
ED05,2001,4,12:29,31.5,1.1,84.8,137.3,102.6,127,127,18,0.09,128,134,5,,1
ED11,2005,6,1:02,43.4,1.2,74.2,9.7,6.1,144,135,0,0,141,133,10,,0
ED12,1021,8,1:29,37.1,1.7,91.2,51.2,42.7,142,144,0,0,145,143,5,,0
ED17,1059,3,12:01,37.1,1.1,84,52.2,22.7,155,147,33,0.24,160,171,45,,1
ED18,1000,2,11:47,32.1,0.7,84,93.2,64.2,144,148,40,0.05,152,154,25,,1
RE05,1085,7,1:15,30.5,1.1,83.3,186.6,166.2,143,135,14,14,140,131,5,,1
RE06,1021,1,11:31,44,0.6,84,195.4,63.5,145,149,47,1.11,147,216,85,,1
ED13,1022,9,1:47,43.1,0.1,85.4,168.3,22.5,155,146,34,3.49,209,170,45,,1
RE01,1022,10,9:36,59.7,1.3,72.4,196,164.1,127,126,0,0,136,124,1,137,0
ED06,QS,11,9:57,58.5,1.5,72.5,120.1,56.6,124,114,24,58,174,176,65,360,1
RE07,1002,12,10:07,57,1,73.1,77.3,24.1,145,135,37,51,143,192,80,245,0
ED09,2003,13,10:13,58,0,74.6,154.1,116,144,146,1,5,135,139,5,148,1
ED16,1002,14,10:19,54.4,1.4,75.6,81.4,66.3,143,132,23,22,142,144,20,268,1
ED07,1021,15,10:56,36.1,1.2,82,80.1,48.1,135,129,31,60,136,146,40,253,1
ED14,1036,16,11:14,41,2,84.6,29.2,18.01,139,130,23,9,138,137,40,216,1
ED08,1036,17,11:25,38.4,1.6,86.2,72.01,52.8,142,126,10,11,140,121,7,239,1
RE02,1059,18,11:31,24.4,0,88,98.1,60.3,141,123,36,20,141,150,20,363,1
ED03,2000,19,11:36,26.4,1.1,90.2,129,107.7,141,138,24,39,137,145,18,346,1
RE03,1100,20,11:43,31.5,1.2,87.5,325.9,83.3,137,129,36,5:18,171,131,95,407,1
ED01,1002,21,12:28,42.4,0,78.8,40.4,31.7,125,114,5,15,137,124,8,254,1
RE04,1078,22,12:32,41.9,0.8,80.2,33.4,24.5,135,123,0,0,139,130,5,160,0
ED15,1070,23,12:38,41.9,1.4,79.2,34.1,21,141,124,23,15,146,138,20,328,1
ED02,1000,24,12:47,41.4,0.8,80.3,80.8,73.2,134,115,20,18,126,116,8,297,1
ED10,1009,25,12:52,43.4,0,82.2,8.7,7.5,127,117,11,4,128,119,5,172,1
