"Plot Title: "
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247374, SEN S/N: 2247374)","Started (LGR S/N: 2247374)","Button Down (LGR S/N: 2247374)","Button Up (LGR S/N: 2247374)","Host Connected (LGR S/N: 2247374)","Stopped (LGR S/N: 2247374)","End Of File (LGR S/N: 2247374)"
1,06/27/20 11:25:46 AM,200.16,Logged,,,,,
2,06/27/20 11:25:47 AM,196.77,,,,,,
3,06/27/20 11:25:48 AM,193.72,,,,,,
4,06/27/20 11:25:49 AM,193.04,,,,,,
5,06/27/20 11:25:50 AM,192.70,,,,,,
6,06/27/20 11:25:51 AM,191.69,,Logged,,,,
7,06/27/20 11:25:52 AM,188.97,,,,,,
8,06/27/20 11:25:53 AM,186.60,,,,,,
9,06/27/20 11:25:54 AM,186.60,,,Logged,,,
10,06/27/20 11:25:55 AM,188.29,,,,,,
11,06/27/20 11:25:56 AM,185.58,,,,,,
12,06/27/20 11:25:57 AM,185.92,,,,,,
13,06/27/20 11:25:58 AM,183.88,,,,,,
14,06/27/20 11:25:59 AM,181.85,,,,,,
15,06/27/20 11:26:00 AM,186.60,,,,,,
16,06/27/20 11:26:01 AM,186.60,,,,,,
17,06/27/20 11:26:02 AM,192.02,,,,,,
18,06/27/20 11:26:03 AM,190.67,,,,,,
19,06/27/20 11:26:04 AM,194.06,,,,,,
20,06/27/20 11:26:05 AM,195.76,,,,,,
21,06/27/20 11:26:06 AM,195.42,,,,,,
22,06/27/20 11:26:07 AM,196.43,,,,,,
23,06/27/20 11:26:08 AM,195.08,,,,,,
24,06/27/20 11:26:09 AM,197.11,,,,,,
25,06/27/20 11:26:10 AM,193.72,,,,,,
26,06/27/20 11:26:11 AM,193.04,,,,,,
27,06/27/20 11:26:12 AM,192.02,,,,,,
28,06/27/20 11:26:13 AM,189.31,,,,,,
29,06/27/20 11:26:14 AM,185.24,,,,,,
30,06/27/20 11:26:15 AM,183.88,,,,,,
31,06/27/20 11:26:16 AM,180.83,,,,,,
32,06/27/20 11:26:17 AM,179.47,,,,,,
33,06/27/20 11:26:18 AM,179.47,,,,,,
34,06/27/20 11:26:19 AM,177.10,,,,,,
35,06/27/20 11:26:20 AM,180.83,,,,,,
36,06/27/20 11:26:21 AM,179.47,,,,,,
37,06/27/20 11:26:22 AM,176.76,,,,,,
38,06/27/20 11:26:23 AM,177.10,,,,,,
39,06/27/20 11:26:24 AM,176.08,,,,,,
40,06/27/20 11:26:25 AM,172.69,,,,,,
41,06/27/20 11:26:26 AM,174.72,,,,,,
42,06/27/20 11:26:27 AM,172.01,,,,,,
43,06/27/20 11:26:28 AM,175.74,,,,,,
44,06/27/20 11:26:29 AM,175.74,,,,,,
45,06/27/20 11:26:30 AM,173.37,,,,,,
46,06/27/20 11:26:31 AM,166.93,,,,,,
47,06/27/20 11:26:32 AM,167.95,,,,,,
48,06/27/20 11:26:33 AM,166.93,,,,,,
49,06/27/20 11:26:34 AM,164.56,,,,,,
50,06/27/20 11:26:35 AM,163.55,,,,,,
51,06/27/20 11:26:36 AM,163.55,,,,,,
52,06/27/20 11:26:37 AM,163.88,,,,,,
53,06/27/20 11:26:38 AM,162.53,,,,,,
54,06/27/20 11:26:39 AM,163.55,,,,,,
55,06/27/20 11:26:40 AM,167.27,,,,,,
56,06/27/20 11:26:41 AM,174.38,,,,,,
57,06/27/20 11:26:42 AM,181.51,,,,,,
58,06/27/20 11:26:43 AM,187.27,,,,,,
59,06/27/20 11:26:44 AM,189.99,,,,,,
60,06/27/20 11:26:45 AM,197.79,,,,,,
61,06/27/20 11:26:46 AM,197.79,,,,,,
62,06/27/20 11:26:47 AM,198.47,,,,,,
63,06/27/20 11:26:48 AM,199.49,,,,,,
64,06/27/20 11:26:49 AM,206.94,,,,,,
65,06/27/20 11:26:50 AM,196.43,,,,,,
66,06/27/20 11:26:51 AM,191.35,,,,,,
67,06/27/20 11:26:52 AM,188.29,,,,,,
68,06/27/20 11:26:53 AM,186.26,,,,,,
69,06/27/20 11:26:54 AM,183.54,,,,,,
70,06/27/20 11:26:55 AM,179.81,,,,,,
71,06/27/20 11:26:56 AM,178.11,,,,,,
72,06/27/20 11:26:57 AM,175.74,,,,,,
73,06/27/20 11:26:58 AM,173.37,,,,,,
74,06/27/20 11:26:59 AM,171.67,,,,,,
75,06/27/20 11:27:00 AM,171.33,,,,,,
76,06/27/20 11:27:01 AM,172.01,,,,,,
77,06/27/20 11:27:02 AM,174.38,,,,,,
78,06/27/20 11:27:03 AM,172.69,,,,,,
79,06/27/20 11:27:04 AM,168.62,,,,,,
80,06/27/20 11:27:05 AM,167.95,,,,,,
81,06/27/20 11:27:06 AM,167.61,,,,,,
82,06/27/20 11:27:07 AM,166.93,,,,,,
83,06/27/20 11:27:08 AM,168.62,,,,,,
84,06/27/20 11:27:09 AM,178.11,,,,,,
85,06/27/20 11:27:10 AM,184.56,,,,,,
86,06/27/20 11:27:11 AM,187.95,,,,,,
87,06/27/20 11:27:12 AM,200.50,,,,,,
88,06/27/20 11:27:13 AM,199.49,,,,,,
89,06/27/20 11:27:14 AM,194.06,,,,,,
90,06/27/20 11:27:15 AM,195.42,,,,,,
91,06/27/20 11:27:16 AM,204.23,,,,,,
92,06/27/20 11:27:17 AM,206.26,,,,,,
93,06/27/20 11:27:18 AM,221.47,,,,,,
94,06/27/20 11:27:19 AM,283.08,,,,,,
95,06/27/20 11:27:20 AM,326.20,,,,,,
96,06/27/20 11:27:21 AM,318.39,,,,,,
97,06/27/20 11:27:22 AM,308.29,,,,,,
98,06/27/20 11:27:23 AM,317.74,,,,,,
99,06/27/20 11:27:24 AM,306.99,,,,,,
100,06/27/20 11:27:25 AM,325.55,,,,,,
101,06/27/20 11:27:26 AM,316.77,,,,,,
