sample_id,species_id,fresh_leaf_weight_gm,fresh_stem_weight_gm,dry_leaf_weight_gm,dry_stem_weight_gm,bottom_diameter_cm,top_diameter_cm,maximum_diameter,distance_from_bottom_cm,type
VZ02,9000,161.2,42.9,53.1,19.6,0.5,1.2,48,33,two_right_cone
VZ03,9000,193.8,82.8,59,38.8,0.5,2.5,53,23,two_right_cone
VZ04,9000,86.4,29.5,46.2,18.3,32,15,,,truncated_cone
VZ05,9000,138.3,61.4,45.1,28.3,0.5,43,,,truncated_cone
VZ06,9000,236.4,123.9,100.1,63.7,0.8,31,,,truncated_cone
DK30,2011,536.7,195.3,264.8,101.1,20,3,,,truncated_cone
DK31,2011,256.7,121.4,158.2,57.7,1.2,27,,,truncated_cone
DK32,2011,265.1,101.1,127.1,45.3,1,21,,,truncated_cone
DK33,2011,274.4,129.1,153.5,77.8,1.2,30,,,truncated_cone
DK34,2011,191,63.7,97.6,36.2,0.8,2.5,,,truncated_cone
DK35,2011,289.2,139.4,186.9,89.2,1.3,3,26,24,two_right_cone
DK36,2011,228.3,222,142.9,152.9,1.1,37.5,,,truncated_cone
DK37,2011,131.2,83.4,84.7,51.4,0.9,1.9,29,41,two_right_cone
DK38,2011,241.6,187.3,146.4,109.1,1.2,30,,,truncated_cone
DK39,2011,329.1,136.5,212.4,82.3,1.2,16.5,,,truncated_cone
DK40,1113,51.7,37.8,31.5,27,0.6,15.5,,,truncated_cone
DK41,1113,39.1,48,25.6,32.5,0.4,34,,,truncated_cone
DK42,1113,44.8,77.4,28.4,51.1,0.7,30,,,truncated_cone
DK43,2012,10.9,28.1,5.6,18.4,0.5,43.5,,,truncated_cone
DK44,2012,5.6,19,3.2,13,0.2,8,17.5,35.8,two_right_cone
DK45,2012,7.4,33.3,2.1,10.4,0.4,21,,,truncated_cone
DK46,1002,20.2,36.1,16.4,25.9,0.4,12,,,truncated_cone
DK47,2007,2.521,76.4,0.9868,60.6,0.3,8.5,13,41.8,two_right_cone
DK48,2007,12,37.9,7.8,28.4,0.3,1.5,35,44,two_right_cone
DK49,2007,20.3,116.7,13.9,89.1,0.6,8,30,30,two_right_cone
UV40,4000,22.3,28.1,15.4,21.3,0.45,23,,,truncated_cone
UV41,4000,35.1,27.1,25.4,19.5,0.4,15,,,truncated_cone
UV42,4000,26.8,45,21,33.8,0.5,37,,,truncated_cone
UV43,4000,18,45,12,34,0.4,32,,,truncated_cone
UV44,4000,24.7,49.3,19.6,39.1,0.5,0.9,24,,two_right_cone
UV45,2005,6.2,32.5,2.8,24.5,0.4,23,,,truncated_cone
UV46,2005,4.3,22.1,2.4,18.7,0.4,37,,,truncated_cone
DV01,8888,26.9,74.4,13.4,54.7,1.1,54,,,truncated_cone
DV02,8888,32.6,86.7,15.2,63.8,0.8,22,,,truncated_cone
DV03,8888,18.4,66.9,10.7,52.4,0.4,29,,,truncated_cone
DV04,8888,14.8,41.7,7.7,29.9,0.4,15,,,truncated_cone
DV05,8888,46.3,124.8,21.8,90.7,1,23,,,truncated_cone
DV06,8888,66.8,110.8,27.2,79.5,0.6,31,,,truncated_cone
DV07,9999,42.2,96.5,15.9,72.4,0.8,20,,,truncated_cone
DV08,9999,30.7,140.7,18.2,106.1,0.8,44,,,truncated_cone
DV09,9999,15.3,61.7,11.1,48.3,0.7,25,,,truncated_cone
DV10,2005,10.1,48.5,6.1,36.9,0.35,20,,,truncated_cone
DV11,2007,1.3,122,0.5,87.1,0.7,36,,,truncated_cone
DV12,1113,47.6,46.5,31.1,36.5,0.45,45,,,truncated_cone
RE10,1021,,,95.6,95.8,0.9,46,,,truncated_cone
RE11,1021,,,165.9,112.4,1.1,43,,,truncated_cone
RE12,1036,82.6,71.6,46,47.3,0.45,44,,,truncated_cone
