"Plot Title: flam.left"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247374, SEN S/N: 2247374)","Temp, °C (LGR S/N: 2247374, SEN S/N: 2247374)","Host Connected (LGR S/N: 2247374)","Stopped (LGR S/N: 2247374)","End Of File (LGR S/N: 2247374)"
1,09/24/20 08:27:57 AM,39.99,21.509,,,
2,09/24/20 08:27:58 AM,39.33,21.509,,,
3,09/24/20 08:27:59 AM,27.67,21.509,,,
4,09/24/20 08:28:00 AM,23.30,21.509,,,
5,09/24/20 08:28:01 AM,21.96,21.509,,,
6,09/24/20 08:28:02 AM,21.28,21.509,,,
7,09/24/20 08:28:03 AM,20.95,21.509,,,
8,09/24/20 08:28:04 AM,20.95,21.509,,,
9,09/24/20 08:28:05 AM,24.98,21.509,,,
10,09/24/20 08:28:06 AM,17.91,21.509,,,
11,09/24/20 08:28:07 AM,19.26,21.509,,,
12,09/24/20 08:28:08 AM,20.27,21.509,,,
13,09/24/20 08:28:09 AM,20.95,21.485,,,
14,09/24/20 08:28:10 AM,20.95,21.485,,,
15,09/24/20 08:28:11 AM,20.95,21.485,,,
16,09/24/20 08:28:12 AM,21.62,21.485,,,
17,09/24/20 08:28:13 AM,21.62,21.485,,,
18,09/24/20 08:28:14 AM,21.28,21.485,,,
19,09/24/20 08:28:15 AM,20.95,21.485,,,
20,09/24/20 08:28:16 AM,20.95,21.485,,,
21,09/24/20 08:28:17 AM,20.95,21.485,,,
22,09/24/20 08:28:18 AM,21.28,21.485,,,
23,09/24/20 08:28:19 AM,21.28,21.485,,,
24,09/24/20 08:28:20 AM,20.95,21.461,,,
25,09/24/20 08:28:21 AM,20.61,21.485,,,
26,09/24/20 08:28:22 AM,20.95,21.485,,,
27,09/24/20 08:28:23 AM,15.88,21.485,,,
28,09/24/20 08:28:24 AM,16.56,21.485,,,
29,09/24/20 08:28:25 AM,16.22,21.485,,,
30,09/24/20 08:28:26 AM,16.22,21.461,,,
31,09/24/20 08:28:27 AM,16.22,21.461,,,
32,09/24/20 08:28:28 AM,16.22,21.461,,,
33,09/24/20 08:28:29 AM,16.22,21.437,,,
34,09/24/20 08:28:30 AM,16.22,21.437,,,
35,09/24/20 08:28:31 AM,16.22,21.413,,,
36,09/24/20 08:28:32 AM,16.22,21.413,,,
37,09/24/20 08:28:33 AM,16.22,21.390,,,
38,09/24/20 08:28:34 AM,16.22,21.390,,,
39,09/24/20 08:28:35 AM,16.22,21.366,,,
40,09/24/20 08:28:36 AM,16.22,21.366,,,
41,09/24/20 08:28:37 AM,16.22,21.342,,,
42,09/24/20 08:28:38 AM,16.22,21.342,,,
43,09/24/20 08:28:39 AM,16.22,21.342,,,
44,09/24/20 08:28:40 AM,15.88,21.318,,,
45,09/24/20 08:28:41 AM,16.22,21.318,,,
46,09/24/20 08:28:42 AM,15.88,21.294,,,
47,09/24/20 08:28:43 AM,16.22,21.294,,,
48,09/24/20 08:28:44 AM,16.22,21.270,,,
49,09/24/20 08:28:45 AM,16.22,21.270,,,
50,09/24/20 08:28:46 AM,16.22,21.270,,,
51,09/24/20 08:28:47 AM,16.22,21.270,,,
52,09/24/20 08:28:48 AM,15.88,21.246,,,
53,09/24/20 08:28:49 AM,15.88,21.246,,,
54,09/24/20 08:28:50 AM,16.22,21.246,,,
55,09/24/20 08:28:51 AM,16.22,21.223,,,
56,09/24/20 08:28:52 AM,15.88,21.223,,,
57,09/24/20 08:28:53 AM,15.88,21.223,,,
58,09/24/20 08:28:54 AM,15.88,21.223,,,
59,09/24/20 08:28:55 AM,16.22,21.199,,,
60,09/24/20 08:28:56 AM,15.88,21.199,,,
61,09/24/20 08:28:57 AM,16.22,21.199,,,
62,09/24/20 08:28:58 AM,15.88,21.175,,,
63,09/24/20 08:28:59 AM,15.88,21.175,,,
64,09/24/20 08:29:00 AM,15.88,21.175,,,
65,09/24/20 08:29:01 AM,15.88,21.151,,,
66,09/24/20 08:29:02 AM,15.88,21.151,,,
67,09/24/20 08:29:03 AM,15.88,21.151,,,
68,09/24/20 08:29:04 AM,15.88,21.151,,,
69,09/24/20 08:29:05 AM,15.88,21.127,,,
70,09/24/20 08:29:06 AM,15.88,21.127,,,
71,09/24/20 08:29:07 AM,15.88,21.127,,,
72,09/24/20 08:29:08 AM,15.88,21.103,,,
73,09/24/20 08:29:09 AM,15.88,21.103,,,
74,09/24/20 08:29:10 AM,15.88,21.103,,,
75,09/24/20 08:29:11 AM,15.88,21.103,,,
