Property Name,Gate Coordinate,,Gate Code,Species Collected,,,,,,,,,,,,,,
Edwards 2020-22,29.7477,-100.5303,2523,Juniperus ashei,Disopyros texana,Mahonia trifoliolata,Mimosa borealis,Pinus remota,Senegalia wrightii/romeriana,Sophora secundiflora,Rhus virens,Rhus microphylla,Forestiera reticulata,Quercus fusiformis,Quercus virginiana,Quercus laceyi,Condalia hookeri,
Edwards 2020-23,,,Dr. Schwilk Has Key,Juniperus ashei,Disopyros texana,Mahonia trifoliolata,Pinus remota,Senegalia wrightii/romeriana,Quercus fusiformis,Quercus laceyi,Rhus virens,Condalia hookeri,,,,,,
Real 2020-11,29.7972,-99.7011,1948#,Juniperus ashei,Disopyros texana,Mahonia trifoliolata,Rhus virens,Yucca rupicola,Arbutus xalapensis,Quercus buckleyi,Mimosa borealis,Sophora secundiflora,,,,,,
Real 2020-12,29.8428,-99.7524,6240,Juniperus ashei,Disopyros texana,Mahonia trifoliolata,Rhus virens,Sophora secundiflora,Condalia hookeri,Senegalia wrightii/romeriana,,,,,,,,
Bandera 2020-29,29.6739,-99.3668,2020,Juniperus ashei,Disopyros texana,Cotinus obovatus,Cercis canadensis,,,,,,,,,,,
Bandera 2020-30,,,1224,Juniperus ashei,Sophora secundiflora,Rhus virens,,,,,,,,,,,,
Bandera 2020-31,29.7145,-98.9241,,,,,,,,,,,,,,,,
Menard 2020-01,,,,Juniperus ashei,Mahonia trifoliolata,Prosopis glandulosa,Disopyros texana,Rhus microphylla,Condalia hookeri,Senegalia wrightii,Ziziphus obtusifolia,,,,,,,
Dickens Park,,,,Juniperus pinchotti,Rhus trilobata,Prosopis glandulosa,Rhus microphylla,Mimosa borealis,Senegalia wrightii,Ziziphus obtusifolia,,,,,,,,
