date,sample_id,species,species_id
8/13/2021,DP17,Juniperus pinchotii,2011
8/13/2021,DP16,Ziziphus obtusifolia,2007
8/13/2021,DP15,Prosopis glandulosa,1113
8/13/2021,DP14,Rhus trilobata,2012
8/13/2021,DP13,Juniperus pinchotii,2011
8/13/2021,DP12,Rhus trilobata,2012
8/13/2021,DP11,Senegalia wrightii,2005
8/13/2021,DP10,Mimosa borealis,1009
8/13/2021,DP09,Rhus trilobata,2012
8/13/2021,DP08,Juniperus pinchotii,2011
8/13/2021,DP07,Prosopis glandulosa,1113
8/13/2021,DP06,Mimosa borealis,1009
8/13/2021,DP05,Ziziphus obtusifolia,2007
8/13/2021,DP04,Rhus microphylla,2006
8/13/2021,DP03,Juniperus pinchotii,2011
8/13/2021,DP02,Prosopis glandulosa,1113
8/13/2021,DP01,Rhus trilobata,2012
7/13/2021,ED43,Senegalia wrightii,2005
7/13/2021,ED42,Mahonia trifoliolata,1002
7/13/2021,ED41,Quercus laceyi,1059
7/13/2021,ED40,Pinus remota,2001
7/13/2021,ED39,Diospyros texana,1000
7/13/2021,ED38,Sophora secundiflora,1021
7/13/2021,ED37,Juniperus ashei,1022
7/13/2021,ED36,Quercus fusiformis,2000
7/13/2021,ED35,Pinus remota,2001
7/13/2021,ED34,Senegalia wrightii,2005
7/13/2021,ED33,Condalia hookeri,2003
7/13/2021,ED32,Forestiera reticulata,2010
7/13/2021,ED31,Quercus fusiformis,2000
7/13/2021,ED30,Senegalia wrightii,2005
7/13/2021,ED29,Forestiera reticulata,2010
7/13/2021,ED28,Quercus fusiformis,2000
7/13/2021,ED27,Condalia hookeri,2003
7/13/2021,ED26,Mimosa borealis,1009
7/13/2021,ED25,Rhus microphylla,2006
7/12/2021,ED24,Mimosa borealis,1009
7/12/2021,ED23,Mahonia trifoliolata,1002
7/12/2021,ED22,Rhus virens,1036
7/12/2021,ED21,Sophora secundiflora,1021
7/12/2021,ED20,Diospyros texana,1000
7/12/2021,ED19,Juniperus ashei,1022
5/22/2021,RE07,Mahonia trifoliolata,1002
5/22/2021,RE06,Sophora secundiflora,1021
5/22/2021,RE05,Arbutus xalapensis,1085
5/22/2021,RE04,Quercus buckleyi,1078
5/22/2021,RE03,Yucca rupicola,1100
5/22/2021,RE02,Quercus laceyi,1059
5/22/2021,RE01,Juniperus ashei,1022
5/21/2021,ED18,Diospyros texana,1000
5/21/2021,ED17,Quercus laceyi,1059
5/21/2021,ED16,Mahonia trifoliolata,1002
5/21/2021,ED15,Prunus serotina,1070
5/21/2021,ED14,Unknown spp,5000000
5/21/2021,ED13,Juniperus ashei,1022
5/21/2021,ED12,Sophora secundiflora,1021
5/21/2021,ED11,Senegalia wrightii,2005
5/21/2021,ED10,Mimosa borealis,1009
5/21/2021,ED09,Condalia hookeri,2003
5/21/2021,ED08,Rhus virens,1036
5/21/2021,ED07,Sophora secundiflora,1021
5/21/2021,ED06,Quercus fusiformis,2000
5/21/2021,ED05,Pinus remota,2001
5/21/2021,ED04,Juniperus ashei,1022
5/21/2021,ED03,Quercus fusiformis,2000
5/21/2021,ED02,Diospyros texana,1000
5/21/2021,ED01,Mahonia trifoliolata,1002
6/15/2021,ME01,Juniperus ashei,1022
6/15/2021,ME02,Mahonia trifoliolata,1002
6/15/2021,ME03,Prosopis glandulosa,1113
6/15/2021,ME04,Rhus microphylla,2006
6/15/2021,ME05,Diospyros texana,1000
6/15/2021,ME06,Prosopis glandulosa,1113
6/15/2021,ME07,Condalia hookeri,2003
6/15/2021,ME08,Senegalia wrightii,2005
6/15/2021,ME09,Ziziphus obtusifolia,2007
6/17/2021,RE08,Juniperus ashei,1022
6/17/2021,RE09,Mahonia trifoliolata,1002
6/17/2021,RE10,Sophora secundiflora,1021
6/17/2021,RE11,Diospyros texana,1000
6/17/2021,RE12,Rhus virens,1036
6/17/2021,RE13,Condalia hookeri,2003
6/17/2021,RE14,Senegalia wrightii,2005
6/18/2021,RE15,Sophora secundiflora,1021
6/18/2021,RE16,Mahonia trifoliolata,1002
6/18/2021,RE17,Juniperus ashei,1022
6/18/2021,RE18,Mimosa borealis,1009
6/18/2021,RE19,Rhus virens,1036
6/18/2021,RE20,Diospyros texana,1000
6/18/2021,BD01,Juniperus ashei,1022
6/18/2021,BD02,Sophora secundiflora,1021
6/18/2021,BD03,Rhus virens,1036
